lambda_param,alpha,delta,epsilon,decay,xmin,ks,R_ln,p_ln,R_exp,p_exp,num_avalanches,num_seeds
20,1.7642431573176989,0.9,0.01,0.8,0.010000000000000009,0.279616204404868,-1539.404310783112,4.562076857316122e-199,-1555.8619656970195,0.0,4354,3
20,2.2770057770383167,0.9,0.01,0.9,0.010000000000000009,0.2532817232480069,-483.9771282329962,1.3748258090366534e-59,-540.9295371248609,6.3116061313939455e-127,3420,3
20,2.561270641032051,0.9,0.01,0.95,0.010000000000000009,0.2605323634120734,-218.8104550864753,4.116388686056869e-27,-276.25635069083927,1.3671069825979577e-44,2873,3
20,1.7566821349775479,0.9,0.03,0.8,0.010000000000000009,0.28614435896321105,-1684.4666567781535,2.829943062925519e-224,-1659.5787500344481,0.0,4501,3
20,2.1560816941068404,0.9,0.03,0.9,0.010000000000000009,0.2542100447852091,-619.361008682491,2.2810331976383253e-74,-704.6722535848764,1.176534129448983e-162,3878,3
20,2.4914697644400463,0.9,0.03,0.95,0.010000000000000009,0.2570036135451998,-277.4153200841983,1.0567986048757683e-33,-341.01071261389615,1.6968351384909493e-60,3105,3
20,1.7826879636341233,0.9,0.05,0.8,0.010000000000000009,0.28473018054048777,-1565.1284616274972,9.218975759510976e-210,-1542.0936588823522,0.0,4385,3
20,2.261626825402149,0.9,0.05,0.9,0.010000000000000009,0.24582573383006856,-486.9919707706941,6.357363149028198e-59,-557.3765240154655,2.5023296795874615e-123,3539,3
20,2.7792042901541834,0.9,0.05,0.95,0.010000000000000009,0.2797491782954364,-150.6283806586673,3.980065018583036e-19,-197.6836222389045,1.7175393000552785e-30,2592,3
20,1.9854775138909806,0.5,0.01,0.8,0.010000000000000009,0.262088589733672,-869.8077250478497,1.9874416092671333e-106,-946.2085312667092,4.61339274486899e-246,4024,3
20,3.1882479799903405,0.5,0.01,0.9,0.010000000000000009,0.2446324624934092,-20.49162268126075,0.000637912831748099,4.4956025689977555,0.8120791016046806,2829,3
20,3.209983354716239,0.5,0.01,0.95,0.010000000000000009,0.25101787710153634,-22.991331928146074,0.000345691584122311,-3.7502187473289266,0.8426329842669884,2808,3
20,1.9058647123581052,0.5,0.03,0.8,0.010000000000000009,0.2506944043971455,-872.2167382415323,2.6908254692941116e-108,-984.7892586801697,3.2972742872475646e-230,3989,3
20,2.718512738688267,0.5,0.03,0.9,0.010000000000000009,0.23061333402509715,-95.3701881208563,6.065562575411268e-13,-129.34900542435003,2.5833755477083355e-09,3112,3
20,3.1256489900598314,0.5,0.03,0.95,0.010000000000000009,0.23631601057161972,-17.83978289794844,0.0012636568235930852,21.147035319189595,0.2775758482870341,2798,3
20,1.812042815201708,0.5,0.05,0.8,0.010000000000000009,0.2784250168889566,-1341.809091195744,1.5014165452439407e-171,-1363.8563301216363,0.0,4164,3
20,2.7249793425426745,0.5,0.05,0.9,0.010000000000000009,0.23401385717077094,-112.41188375220015,1.1773494166366315e-14,-159.2683269243819,3.4621089903699355e-13,3244,3
20,3.391682162490684,0.5,0.05,0.95,0.010000000000000009,0.24715974715984645,-7.220193546220787,0.039451159270038075,39.01517904788401,0.02669267944142111,2612,3
20,1.737327282149789,0.7,0.01,0.8,0.010000000000000009,0.28479570041234203,-1631.207661909679,3.824390015026879e-211,-1646.797048594588,0.0,4405,3
20,2.727865051660925,0.7,0.01,0.9,0.010000000000000009,0.24580034458630812,-130.09752867594264,1.3835850169406824e-16,-183.40763993566128,5.230779820444397e-19,3067,3
20,2.901543994645972,0.7,0.01,0.95,0.010000000000000009,0.25432605118112367,-74.52029774113858,2.1661481184503175e-10,-103.14070694222026,4.1453286642538983e-08,2762,3
20,1.7584293263471502,0.7,0.03,0.8,0.010000000000000009,0.2856107392533891,-1546.2316637794725,9.11988415015902e-201,-1561.4922559476759,0.0,4357,3
20,2.360283387897959,0.7,0.03,0.9,0.010000000000000009,0.23599266042631434,-317.9264365165338,9.067128682945316e-39,-398.33005252261154,8.531298188951609e-66,3336,3
20,3.314208879190985,0.7,0.03,0.95,0.010000000000000009,0.2504988340167031,-12.200074826321918,0.00826216288010893,19.203483557841846,0.2747732192890088,2518,3
20,1.7806453083939249,0.7,0.05,0.8,0.010000000000000009,0.27606226855974325,-1383.8699046299862,4.1767087810220844e-175,-1438.5513360490784,0.0,4236,3
20,2.730945680063378,0.7,0.05,0.9,0.010000000000000009,0.22878278351171144,-90.03041344983181,3.02052726545395e-12,-123.85001132997178,7.04669618818725e-09,3034,3
20,3.2246527063291013,0.7,0.05,0.95,0.010000000000000009,0.25260262639612185,-18.82506119087239,0.0010435820684143074,6.474535751757266,0.721446957639752,2646,3
20,1.7268267022458976,0.9,0.01,0.8,0.010000000000000009,0.2839433256983589,-1708.775270916575,1.7036106028846544e-224,-1721.5196747893876,0.0,4543,3
20,2.4225697133121553,0.9,0.01,0.9,0.010000000000000009,0.2447320383204829,-331.17522367207897,1.951612265086148e-39,-411.02630495090847,8.938772395426046e-73,3456,3
20,2.937331977869749,0.9,0.01,0.95,0.010000000000000009,0.2644075108648051,-84.01786032031187,2.449452833921525e-11,-118.27097550733343,1.0784479244483537e-10,2760,3
20,1.705796914703297,0.9,0.03,0.8,0.010000000000000009,0.2901589289498545,-1810.1863244062417,6.117465378003805e-238,-1796.9987699749713,0.0,4482,3
20,2.4731900497965604,0.9,0.03,0.9,0.010000000000000009,0.25381127212748295,-265.9588648363537,3.152304131346807e-33,-330.7719732617069,1.5514659621431215e-52,3226,3
20,3.0788433888143243,0.9,0.03,0.95,0.010000000000000009,0.2609115093452878,-44.25400444121607,1.0058160440326293e-06,-53.111219971373046,0.0027061559842911495,2550,3
20,1.771826870129182,0.9,0.05,0.8,0.010000000000000009,0.28539256805567825,-1547.0450814536157,7.708478625614167e-197,-1559.732364508053,0.0,4418,3
20,2.508180472518881,0.9,0.05,0.9,0.010000000000000009,0.26608388482704726,-285.05010939487164,2.072404368459816e-35,-345.1604431317096,1.4317552519641626e-64,3135,3
