delta,alpha,lambda_param,Recycle_Rate,Run
0.110546875,0.398828125,1.535546875,0.92,0
0.272265625,0.398828125,1.535546875,0.92,1
0.110546875,0.912109375,1.535546875,0.96,2
0.110546875,0.398828125,3.4113281250000003,0.89,3
0.110546875,0.912109375,3.4113281250000003,0.96,4
0.272265625,0.398828125,3.4113281250000003,0.9,5
0.272265625,0.912109375,1.535546875,0.96,6
0.272265625,0.912109375,3.4113281250000003,0.97,7
0.560546875,0.848828125,3.9855468750000003,0.96,8
0.722265625,0.848828125,3.9855468750000003,0.95,9
0.560546875,0.46210937500000004,3.9855468750000003,0.87,10
0.560546875,0.848828125,0.9613281250000001,0.95,11
0.560546875,0.46210937500000004,0.9613281250000001,0.93,12
0.722265625,0.848828125,0.9613281250000001,0.99,13
0.722265625,0.46210937500000004,3.9855468750000003,0.89,14
0.722265625,0.46210937500000004,0.9613281250000001,0.91,15
0.785546875,0.173828125,0.310546875,0.79,16
0.49726562500000004,0.173828125,0.310546875,0.73,17
0.785546875,0.237109375,0.310546875,0.81,18
0.785546875,0.173828125,2.186328125,0.74,19
0.785546875,0.237109375,2.186328125,0.79,20
0.49726562500000004,0.173828125,2.186328125,0.75,21
0.49726562500000004,0.237109375,0.310546875,0.82,22
0.49726562500000004,0.237109375,2.186328125,0.79,23
0.335546875,0.623828125,2.760546875,0.93,24
0.947265625,0.623828125,2.760546875,0.94,25
0.335546875,0.687109375,2.760546875,0.97,26
0.335546875,0.623828125,4.636328125,0.94,27
0.335546875,0.687109375,4.636328125,0.91,28
0.947265625,0.623828125,4.636328125,0.96,29
0.947265625,0.687109375,2.760546875,0.96,30
0.947265625,0.687109375,4.636328125,0.97,31
0.44804687500000007,0.28632812500000004,4.598046875,0.87,32
0.834765625,0.28632812500000004,4.598046875,0.79,33
0.44804687500000007,0.574609375,4.598046875,0.95,34
0.44804687500000007,0.28632812500000004,2.7988281250000004,0.85,35
0.44804687500000007,0.574609375,2.7988281250000004,0.96,36
0.834765625,0.28632812500000004,2.7988281250000004,0.91,37
0.834765625,0.574609375,4.598046875,0.93,38
0.834765625,0.574609375,2.7988281250000004,0.96,39
0.898046875,0.736328125,2.1480468750000004,0.96,40
0.384765625,0.736328125,2.1480468750000004,0.95,41
0.898046875,0.12460937500000001,2.1480468750000004,0.71,42
0.898046875,0.736328125,0.34882812500000004,0.95,43
0.898046875,0.12460937500000001,0.34882812500000004,0.7,44
0.384765625,0.736328125,0.34882812500000004,0.93,45
0.384765625,0.12460937500000001,2.1480468750000004,0.77,46
0.384765625,0.12460937500000001,0.34882812500000004,0.72,47
0.673046875,0.511328125,3.3730468750000004,0.93,48
0.609765625,0.511328125,3.3730468750000004,0.93,49
0.673046875,0.349609375,3.3730468750000004,0.91,50
0.673046875,0.511328125,1.5738281250000001,0.94,51
0.673046875,0.349609375,1.5738281250000001,0.92,52
0.609765625,0.511328125,1.5738281250000001,0.95,53
0.609765625,0.349609375,3.3730468750000004,0.92,54
0.609765625,0.349609375,1.5738281250000001,0.89,55
0.223046875,0.961328125,0.923046875,0.99,56
0.15976562500000002,0.961328125,0.923046875,0.97,57
0.223046875,0.799609375,0.923046875,0.97,58
0.223046875,0.961328125,4.0238281250000005,0.97,59
0.223046875,0.799609375,4.0238281250000005,0.95,60
0.15976562500000002,0.961328125,4.0238281250000005,0.94,61
0.15976562500000002,0.799609375,0.923046875,0.97,62
0.15976562500000002,0.799609375,4.0238281250000005,0.95,63
0.279296875,0.117578125,3.6792968750000004,0.8,64
0.328515625,0.117578125,3.6792968750000004,0.64,65
0.279296875,0.5183593750000001,3.6792968750000004,0.95,66
0.279296875,0.117578125,4.942578125,0.83,67
0.279296875,0.5183593750000001,4.942578125,0.93,68
0.328515625,0.117578125,4.942578125,0.73,69
0.328515625,0.5183593750000001,3.6792968750000004,0.91,70
0.328515625,0.5183593750000001,4.942578125,0.95,71
0.729296875,0.567578125,1.2292968750000002,0.97,72
0.778515625,0.567578125,1.2292968750000002,0.95,73
