decay,Recycle_Rate
0.1,0.72
0.1,0.91
0.1,0.82
0.1,0.66
0.1,0.99
0.1,1.0
0.1,0.76
0.1,0.76
0.1,0.54
0.1,0.8
0.1,0.86
0.1,0.68
0.1,0.67
0.1,0.83
0.1,0.94
0.1,0.85
0.1,0.69
0.1,0.74
0.1,0.93
0.1,0.79
0.1,0.97
0.1,0.56
0.1,0.61
0.1,0.97
0.1,0.72
0.1,0.98
0.1,0.52
0.1,0.95
0.1,0.79
0.1,0.78
0.1,0.91
0.1,0.75
0.1,0.73
0.1,0.74
0.1,0.7
0.1,0.89
0.1,0.96
0.1,0.53
0.1,0.93
0.1,0.76
0.1,0.81
0.1,0.69
0.1,0.89
0.1,0.79
0.1,0.79
0.1,0.57
0.1,0.76
0.1,0.82
0.1,0.69
0.1,0.8
0.1310344827586207,0.68
0.1310344827586207,0.77
0.1310344827586207,0.75
0.1310344827586207,0.8
0.1310344827586207,0.68
0.1310344827586207,0.45
0.1310344827586207,0.69
0.1310344827586207,0.92
0.1310344827586207,0.47
0.1310344827586207,0.79
0.1310344827586207,0.65
0.1310344827586207,0.71
0.1310344827586207,0.74
0.1310344827586207,0.78
0.1310344827586207,0.97
0.1310344827586207,0.72
0.1310344827586207,0.41
0.1310344827586207,0.95
0.1310344827586207,0.69
0.1310344827586207,0.75
0.1310344827586207,0.67
0.1310344827586207,0.82
0.1310344827586207,0.66
0.1310344827586207,0.64
0.1310344827586207,0.99
0.1310344827586207,0.71
0.1310344827586207,0.86
0.1310344827586207,0.57
0.1310344827586207,0.86
0.1310344827586207,0.75
0.1310344827586207,0.65
0.1310344827586207,0.59
0.1310344827586207,0.86
0.1310344827586207,0.74
0.1310344827586207,0.72
0.1310344827586207,0.94
0.1310344827586207,0.79
0.1310344827586207,0.99
0.1310344827586207,0.85
0.1310344827586207,0.8
0.1310344827586207,0.72
0.1310344827586207,0.74
0.1310344827586207,0.73
0.1310344827586207,0.87
0.1310344827586207,0.69
0.1310344827586207,0.5
0.1310344827586207,0.79
0.1310344827586207,0.72
0.1310344827586207,0.85
0.1310344827586207,0.67
0.16206896551724137,0.69
0.16206896551724137,0.83
0.16206896551724137,0.66
0.16206896551724137,0.86
0.16206896551724137,0.57
0.16206896551724137,0.64
0.16206896551724137,0.72
0.16206896551724137,0.68
0.16206896551724137,0.93
0.16206896551724137,0.74
0.16206896551724137,0.61
0.16206896551724137,0.9
0.16206896551724137,0.93
0.16206896551724137,0.8
0.16206896551724137,0.57
0.16206896551724137,0.76
0.16206896551724137,0.4
0.16206896551724137,0.68
0.16206896551724137,0.93
0.16206896551724137,0.86
0.16206896551724137,0.86
0.16206896551724137,0.71
0.16206896551724137,0.79
0.16206896551724137,0.56
0.16206896551724137,0.82
0.16206896551724137,0.6
0.16206896551724137,0.58
0.16206896551724137,0.81
0.16206896551724137,0.95
0.16206896551724137,0.74
0.16206896551724137,0.79
0.16206896551724137,0.65
0.16206896551724137,0.84
0.16206896551724137,0.96
0.16206896551724137,0.63
0.16206896551724137,0.8
0.16206896551724137,0.63
0.16206896551724137,0.82
0.16206896551724137,0.74
0.16206896551724137,0.89
0.16206896551724137,0.57
0.16206896551724137,1.0
0.16206896551724137,0.73
0.16206896551724137,0.76
0.16206896551724137,0.87
0.16206896551724137,0.77
0.16206896551724137,0.79
0.16206896551724137,0.58
0.16206896551724137,0.6
0.16206896551724137,0.57
0.19310344827586207,0.47
0.19310344827586207,0.68
0.19310344827586207,0.55
0.19310344827586207,0.71
0.19310344827586207,0.8
0.19310344827586207,0.87
0.19310344827586207,0.66
0.19310344827586207,0.85
0.19310344827586207,0.66
0.19310344827586207,0.69
0.19310344827586207,0.69
0.19310344827586207,0.63
0.19310344827586207,0.92
0.19310344827586207,0.62
0.19310344827586207,0.91
0.19310344827586207,0.54
0.19310344827586207,0.97
0.19310344827586207,0.68
0.19310344827586207,0.55
0.19310344827586207,0.67
0.19310344827586207,0.57
0.19310344827586207,0.84
0.19310344827586207,0.74
0.19310344827586207,0.8
0.19310344827586207,0.74
0.19310344827586207,0.84
0.19310344827586207,0.71
0.19310344827586207,0.75
0.19310344827586207,0.93
0.19310344827586207,0.92
0.19310344827586207,0.53
0.19310344827586207,0.78
0.19310344827586207,0.74
0.19310344827586207,0.69
0.19310344827586207,0.61
0.19310344827586207,0.81
0.19310344827586207,0.56
0.19310344827586207,0.59
0.19310344827586207,0.7
0.19310344827586207,0.67
0.19310344827586207,0.93
0.19310344827586207,0.67
0.19310344827586207,0.68
0.19310344827586207,0.64
0.19310344827586207,0.76
0.19310344827586207,0.69
0.19310344827586207,0.63
0.19310344827586207,0.8
0.19310344827586207,0.8
0.19310344827586207,0.75
0.22413793103448276,0.8
0.22413793103448276,0.71
0.22413793103448276,0.91
0.22413793103448276,0.77
0.22413793103448276,0.65
0.22413793103448276,0.87
0.22413793103448276,0.75
0.22413793103448276,0.96
0.22413793103448276,0.72
0.22413793103448276,0.68
0.22413793103448276,0.82
0.22413793103448276,0.68
0.22413793103448276,0.74
0.22413793103448276,0.49
0.22413793103448276,0.64
0.22413793103448276,0.71
0.22413793103448276,0.68
0.22413793103448276,0.77
0.22413793103448276,0.88
0.22413793103448276,0.83
0.22413793103448276,0.71
0.22413793103448276,0.78
0.22413793103448276,0.91
0.22413793103448276,0.72
0.22413793103448276,0.94
0.22413793103448276,0.81
0.22413793103448276,0.76
0.22413793103448276,0.72
0.22413793103448276,0.65
0.22413793103448276,0.42
0.22413793103448276,0.8
0.22413793103448276,0.61
0.22413793103448276,0.75
0.22413793103448276,0.85
0.22413793103448276,0.66
0.22413793103448276,0.94
0.22413793103448276,0.72
0.22413793103448276,0.76
0.22413793103448276,0.74
0.22413793103448276,0.87
0.22413793103448276,0.73
0.22413793103448276,0.79
0.22413793103448276,0.98
0.22413793103448276,0.93
0.22413793103448276,0.66
0.22413793103448276,0.89
0.22413793103448276,0.86
0.22413793103448276,0.6
0.22413793103448276,0.75
0.22413793103448276,0.77
0.25517241379310346,0.62
0.25517241379310346,0.68
0.25517241379310346,0.66
0.25517241379310346,0.86
0.25517241379310346,0.73
0.25517241379310346,0.7
0.25517241379310346,0.89
0.25517241379310346,0.8
0.25517241379310346,0.99
0.25517241379310346,0.79
0.25517241379310346,0.71
0.25517241379310346,0.74
0.25517241379310346,0.64
0.25517241379310346,0.74
0.25517241379310346,0.95
0.25517241379310346,0.84
0.25517241379310346,0.89
0.25517241379310346,0.74
0.25517241379310346,0.96
0.25517241379310346,0.86
0.25517241379310346,0.64
0.25517241379310346,0.83
0.25517241379310346,0.71
0.25517241379310346,0.99
0.25517241379310346,0.66
0.25517241379310346,0.85
0.25517241379310346,0.86
0.25517241379310346,0.91
0.25517241379310346,0.83
0.25517241379310346,0.84
0.25517241379310346,0.79
0.25517241379310346,0.68
0.25517241379310346,0.78
0.25517241379310346,0.92
0.25517241379310346,0.59
0.25517241379310346,0.75
0.25517241379310346,1.0
0.25517241379310346,0.88
0.25517241379310346,0.8
0.25517241379310346,0.81
0.25517241379310346,0.93
0.25517241379310346,0.84
0.25517241379310346,0.47
0.25517241379310346,0.72
0.25517241379310346,0.83
0.25517241379310346,0.56
0.25517241379310346,0.65
0.25517241379310346,0.75
0.25517241379310346,0.65
0.25517241379310346,0.75
0.28620689655172415,0.58
0.28620689655172415,0.67
0.28620689655172415,0.92
0.28620689655172415,0.66
0.28620689655172415,0.72
0.28620689655172415,0.84
0.28620689655172415,0.81
0.28620689655172415,0.74
0.28620689655172415,0.61
0.28620689655172415,0.54
0.28620689655172415,0.57
0.28620689655172415,0.78
0.28620689655172415,1.0
0.28620689655172415,0.71
0.28620689655172415,0.92
0.28620689655172415,0.74
0.28620689655172415,0.85
0.28620689655172415,0.94
0.28620689655172415,0.59
0.28620689655172415,0.88
0.28620689655172415,0.55
0.28620689655172415,0.59
0.28620689655172415,0.74
0.28620689655172415,0.91
0.28620689655172415,0.71
0.28620689655172415,0.69
0.28620689655172415,0.86
0.28620689655172415,0.8
0.28620689655172415,0.7
0.28620689655172415,0.94
0.28620689655172415,0.8
0.28620689655172415,0.68
0.28620689655172415,0.95
0.28620689655172415,0.68
0.28620689655172415,0.76
0.28620689655172415,0.81
0.28620689655172415,0.74
0.28620689655172415,0.98
0.28620689655172415,0.83
0.28620689655172415,0.67
0.28620689655172415,0.68
0.28620689655172415,0.74
0.28620689655172415,0.96
0.28620689655172415,0.85
0.28620689655172415,0.64
0.28620689655172415,0.89
0.28620689655172415,0.93
0.28620689655172415,0.5
0.28620689655172415,0.86
0.28620689655172415,0.82
0.3172413793103448,0.82
0.3172413793103448,0.76
0.3172413793103448,0.62
0.3172413793103448,0.75
0.3172413793103448,0.74
0.3172413793103448,0.77
0.3172413793103448,0.91
0.3172413793103448,0.88
0.3172413793103448,0.88
0.3172413793103448,0.74
0.3172413793103448,0.75
0.3172413793103448,0.75
0.3172413793103448,0.79
0.3172413793103448,0.93
0.3172413793103448,0.74
0.3172413793103448,0.69
0.3172413793103448,0.69
0.3172413793103448,0.91
0.3172413793103448,0.89
0.3172413793103448,0.82
0.3172413793103448,0.79
0.3172413793103448,0.76
0.3172413793103448,0.84
0.3172413793103448,0.92
0.3172413793103448,0.77
0.3172413793103448,0.74
0.3172413793103448,0.67
0.3172413793103448,0.85
0.3172413793103448,0.68
0.3172413793103448,0.64
0.3172413793103448,0.79
0.3172413793103448,0.76
0.3172413793103448,0.76
0.3172413793103448,0.96
0.3172413793103448,0.95
0.3172413793103448,0.71
0.3172413793103448,0.77
0.3172413793103448,0.76
0.3172413793103448,0.84
0.3172413793103448,0.84
0.3172413793103448,0.7
0.3172413793103448,0.8
0.3172413793103448,0.96
0.3172413793103448,0.63
0.3172413793103448,0.83
0.3172413793103448,0.85
0.3172413793103448,0.91
0.3172413793103448,0.89
0.3172413793103448,0.81
0.3172413793103448,0.65
0.34827586206896555,0.97
0.34827586206896555,0.85
0.34827586206896555,0.86
0.34827586206896555,0.83
0.34827586206896555,0.59
0.34827586206896555,0.69
0.34827586206896555,0.6
0.34827586206896555,0.81
0.34827586206896555,0.69
0.34827586206896555,0.61
0.34827586206896555,0.76
0.34827586206896555,0.91
0.34827586206896555,0.63
0.34827586206896555,0.84
0.34827586206896555,0.86
0.34827586206896555,0.9
0.34827586206896555,0.81
0.34827586206896555,0.87
0.34827586206896555,0.78
0.34827586206896555,0.84
0.34827586206896555,0.68
0.34827586206896555,0.87
0.34827586206896555,0.61
0.34827586206896555,0.77
0.34827586206896555,0.8
0.34827586206896555,0.71
0.34827586206896555,0.89
0.34827586206896555,0.6
0.34827586206896555,0.63
0.34827586206896555,0.99
0.34827586206896555,0.71
0.34827586206896555,0.68
0.34827586206896555,0.75
0.34827586206896555,0.87
0.34827586206896555,0.83
0.34827586206896555,0.76
0.34827586206896555,0.9
0.34827586206896555,1.0
0.34827586206896555,0.65
0.34827586206896555,0.65
0.34827586206896555,0.98
0.34827586206896555,0.66
0.34827586206896555,0.84
0.34827586206896555,0.96
0.34827586206896555,0.62
0.34827586206896555,0.76
0.34827586206896555,0.67
0.34827586206896555,0.95
0.34827586206896555,0.85
0.34827586206896555,0.67
0.3793103448275862,0.84
0.3793103448275862,0.9
0.3793103448275862,0.75
0.3793103448275862,0.69
0.3793103448275862,0.68
0.3793103448275862,0.65
0.3793103448275862,0.6
0.3793103448275862,0.73
0.3793103448275862,0.67
0.3793103448275862,0.71
0.3793103448275862,0.85
0.3793103448275862,0.65
0.3793103448275862,0.62
0.3793103448275862,0.82
0.3793103448275862,0.99
0.3793103448275862,0.78
0.3793103448275862,0.83
0.3793103448275862,0.7
0.3793103448275862,0.93
0.3793103448275862,0.81
0.3793103448275862,0.82
0.3793103448275862,0.65
0.3793103448275862,0.47
0.3793103448275862,0.88
0.3793103448275862,0.74
0.3793103448275862,0.52
0.3793103448275862,0.95
0.3793103448275862,0.63
0.3793103448275862,0.58
0.3793103448275862,0.83
0.3793103448275862,0.86
0.3793103448275862,0.72
0.3793103448275862,0.69
0.3793103448275862,0.7
0.3793103448275862,0.8
0.3793103448275862,0.73
0.3793103448275862,0.76
0.3793103448275862,0.85
0.3793103448275862,0.71
0.3793103448275862,0.96
0.3793103448275862,0.65
0.3793103448275862,0.91
0.3793103448275862,0.89
0.3793103448275862,0.81
0.3793103448275862,0.88
0.3793103448275862,0.82
0.3793103448275862,0.85
0.3793103448275862,0.86
0.3793103448275862,0.93
0.3793103448275862,0.55
0.41034482758620694,0.79
0.41034482758620694,0.81
0.41034482758620694,0.79
0.41034482758620694,0.89
0.41034482758620694,0.61
0.41034482758620694,0.81
0.41034482758620694,0.92
0.41034482758620694,0.87
0.41034482758620694,0.88
0.41034482758620694,0.77
0.41034482758620694,0.68
0.41034482758620694,0.97
0.41034482758620694,0.74
0.41034482758620694,0.79
0.41034482758620694,0.81
0.41034482758620694,0.79
0.41034482758620694,0.72
0.41034482758620694,0.94
0.41034482758620694,0.65
0.41034482758620694,0.84
0.41034482758620694,0.89
0.41034482758620694,0.74
