K_default,Recycle_Rate
5.0,0.52
5.0,0.45
5.0,0.51
5.0,0.41
5.0,0.43
5.0,0.42
5.0,0.55
5.0,0.43
5.0,0.49
5.0,0.5
5.0,0.46
5.0,0.51
5.0,0.44
5.0,0.49
5.0,0.52
5.0,0.38
5.0,0.55
5.0,0.49
5.0,0.43
5.0,0.51
5.0,0.42
5.0,0.43
5.0,0.55
5.0,0.53
5.0,0.49
5.0,0.46
5.0,0.5
5.0,0.57
5.0,0.54
5.0,0.52
5.0,0.45
5.0,0.51
5.0,0.46
5.0,0.52
5.0,0.5
5.0,0.5
5.0,0.56
5.0,0.49
5.0,0.49
5.0,0.45
5.0,0.56
5.0,0.46
5.0,0.53
5.0,0.51
5.0,0.51
5.0,0.54
5.0,0.54
5.0,0.47
5.0,0.47
5.0,0.58
5.0,0.57
5.0,0.48
5.0,0.49
5.0,0.52
5.0,0.46
5.0,0.53
5.0,0.51
5.0,0.49
5.0,0.44
5.0,0.5
5.0,0.55
5.0,0.45
5.0,0.49
5.0,0.47
5.0,0.54
5.0,0.46
5.0,0.39
5.0,0.49
5.0,0.54
5.0,0.49
5.0,0.49
5.0,0.5
5.0,0.55
5.0,0.55
5.0,0.42
5.0,0.49
5.0,0.55
5.0,0.48
5.0,0.52
5.0,0.51
5.0,0.47
5.0,0.46
5.0,0.41
5.0,0.5
5.0,0.55
5.0,0.44
5.0,0.49
5.0,0.51
5.0,0.45
5.0,0.47
5.0,0.45
5.0,0.58
5.0,0.58
5.0,0.52
5.0,0.55
5.0,0.48
5.0,0.55
5.0,0.42
5.0,0.51
5.0,0.53
5.0,0.51
5.0,0.46
5.0,0.48
5.0,0.55
5.0,0.5
5.0,0.54
5.0,0.55
5.0,0.56
5.0,0.54
5.0,0.54
5.0,0.45
5.0,0.47
5.0,0.51
5.0,0.46
5.0,0.49
5.0,0.51
5.0,0.49
5.0,0.53
5.0,0.41
5.0,0.47
5.0,0.47
5.0,0.54
5.0,0.5
5.0,0.44
5.0,0.48
5.0,0.51
5.0,0.53
5.0,0.45
5.0,0.5
5.0,0.49
5.0,0.53
5.0,0.44
5.0,0.43
5.0,0.45
5.0,0.54
5.0,0.5
5.0,0.54
5.0,0.53
5.0,0.55
5.0,0.48
5.0,0.55
5.0,0.54
5.0,0.52
5.0,0.47
5.0,0.52
5.0,0.55
5.0,0.48
5.0,0.51
5.0,0.56
5.0,0.52
5.0,0.49
5.0,0.49
5.0,0.57
5.0,0.53
5.0,0.45
5.0,0.51
5.0,0.48
5.0,0.51
5.0,0.45
5.0,0.47
5.0,0.54
5.0,0.52
5.0,0.54
5.0,0.55
5.0,0.47
5.0,0.47
5.0,0.41
5.0,0.51
5.0,0.53
5.0,0.47
5.0,0.51
5.0,0.59
5.0,0.52
5.0,0.55
5.0,0.43
5.0,0.49
5.0,0.37
5.0,0.49
5.0,0.57
5.0,0.56
5.0,0.48
5.0,0.53
5.0,0.52
5.0,0.57
5.0,0.51
5.0,0.49
5.0,0.35
5.0,0.51
5.0,0.47
5.0,0.54
5.0,0.5
5.0,0.52
5.0,0.48
5.0,0.51
5.0,0.45
5.0,0.48
5.0,0.52
5.0,0.52
5.0,0.44
5.0,0.46
5.0,0.49
5.0,0.49
5.0,0.56
5.0,0.45
5.0,0.49
5.0,0.46
5.0,0.46
5.0,0.52
5.0,0.48
5.0,0.46
5.0,0.48
5.0,0.53
5.0,0.51
5.0,0.5
5.0,0.52
5.0,0.53
5.0,0.58
5.0,0.42
5.0,0.51
5.0,0.43
5.0,0.46
5.0,0.51
5.0,0.51
5.0,0.47
5.0,0.47
5.0,0.43
5.0,0.52
5.0,0.52
5.0,0.53
5.0,0.5
5.0,0.46
5.0,0.4
5.0,0.51
5.0,0.5
5.0,0.5
5.0,0.54
5.0,0.54
5.0,0.5
5.0,0.46
5.0,0.53
5.0,0.45
5.0,0.53
5.0,0.55
5.0,0.47
5.0,0.49
5.0,0.49
5.0,0.51
5.0,0.52
5.0,0.48
5.0,0.48
5.7894736842105265,0.52
5.7894736842105265,0.45
5.7894736842105265,0.51
5.7894736842105265,0.41
5.7894736842105265,0.43
5.7894736842105265,0.42
5.7894736842105265,0.55
5.7894736842105265,0.43
5.7894736842105265,0.49
5.7894736842105265,0.5
5.7894736842105265,0.46
5.7894736842105265,0.51
5.7894736842105265,0.44
5.7894736842105265,0.49
5.7894736842105265,0.52
5.7894736842105265,0.38
5.7894736842105265,0.55
5.7894736842105265,0.49
5.7894736842105265,0.43
5.7894736842105265,0.51
5.7894736842105265,0.42
5.7894736842105265,0.43
5.7894736842105265,0.55
5.7894736842105265,0.53
5.7894736842105265,0.49
5.7894736842105265,0.46
5.7894736842105265,0.5
5.7894736842105265,0.57
5.7894736842105265,0.54
5.7894736842105265,0.52
5.7894736842105265,0.45
5.7894736842105265,0.51
5.7894736842105265,0.46
5.7894736842105265,0.52
5.7894736842105265,0.5
5.7894736842105265,0.5
5.7894736842105265,0.56
5.7894736842105265,0.49
5.7894736842105265,0.49
5.7894736842105265,0.45
5.7894736842105265,0.56
5.7894736842105265,0.46
5.7894736842105265,0.53
5.7894736842105265,0.51
5.7894736842105265,0.51
5.7894736842105265,0.54
5.7894736842105265,0.54
5.7894736842105265,0.47
5.7894736842105265,0.47
5.7894736842105265,0.58
5.7894736842105265,0.57
5.7894736842105265,0.48
5.7894736842105265,0.49
5.7894736842105265,0.52
5.7894736842105265,0.46
5.7894736842105265,0.53
5.7894736842105265,0.51
5.7894736842105265,0.49
5.7894736842105265,0.44
5.7894736842105265,0.5
5.7894736842105265,0.55
5.7894736842105265,0.45
5.7894736842105265,0.49
5.7894736842105265,0.47
5.7894736842105265,0.54
5.7894736842105265,0.46
5.7894736842105265,0.39
5.7894736842105265,0.49
5.7894736842105265,0.54
5.7894736842105265,0.49
5.7894736842105265,0.49
5.7894736842105265,0.5
5.7894736842105265,0.55
5.7894736842105265,0.55
5.7894736842105265,0.42
5.7894736842105265,0.49
5.7894736842105265,0.55
5.7894736842105265,0.48
5.7894736842105265,0.52
5.7894736842105265,0.51
5.7894736842105265,0.47
5.7894736842105265,0.46
5.7894736842105265,0.41
5.7894736842105265,0.5
5.7894736842105265,0.55
5.7894736842105265,0.44
5.7894736842105265,0.49
5.7894736842105265,0.51
5.7894736842105265,0.45
5.7894736842105265,0.47
5.7894736842105265,0.45
5.7894736842105265,0.58
5.7894736842105265,0.58
5.7894736842105265,0.52
5.7894736842105265,0.55
5.7894736842105265,0.48
5.7894736842105265,0.55
5.7894736842105265,0.42
5.7894736842105265,0.51
5.7894736842105265,0.53
5.7894736842105265,0.51
5.7894736842105265,0.46
5.7894736842105265,0.48
5.7894736842105265,0.55
5.7894736842105265,0.5
5.7894736842105265,0.54
5.7894736842105265,0.55
5.7894736842105265,0.56
5.7894736842105265,0.54
5.7894736842105265,0.54
5.7894736842105265,0.45
5.7894736842105265,0.47
5.7894736842105265,0.51
5.7894736842105265,0.46
5.7894736842105265,0.49
5.7894736842105265,0.51
5.7894736842105265,0.49
5.7894736842105265,0.53
5.7894736842105265,0.41
5.7894736842105265,0.47
5.7894736842105265,0.47
5.7894736842105265,0.54
5.7894736842105265,0.5
5.7894736842105265,0.44
5.7894736842105265,0.48
5.7894736842105265,0.51
5.7894736842105265,0.53
5.7894736842105265,0.45
5.7894736842105265,0.5
5.7894736842105265,0.49
5.7894736842105265,0.53
5.7894736842105265,0.44
5.7894736842105265,0.43
5.7894736842105265,0.45
5.7894736842105265,0.54
5.7894736842105265,0.5
5.7894736842105265,0.54
5.7894736842105265,0.53
5.7894736842105265,0.55
5.7894736842105265,0.48
5.7894736842105265,0.55
5.7894736842105265,0.54
5.7894736842105265,0.52
5.7894736842105265,0.47
5.7894736842105265,0.52
5.7894736842105265,0.55
5.7894736842105265,0.48
5.7894736842105265,0.51
5.7894736842105265,0.56
5.7894736842105265,0.52
5.7894736842105265,0.49
5.7894736842105265,0.49
5.7894736842105265,0.57
5.7894736842105265,0.53
5.7894736842105265,0.45
5.7894736842105265,0.51
5.7894736842105265,0.48
5.7894736842105265,0.51
5.7894736842105265,0.45
5.7894736842105265,0.47
5.7894736842105265,0.54
5.7894736842105265,0.52
5.7894736842105265,0.54
5.7894736842105265,0.55
5.7894736842105265,0.47
5.7894736842105265,0.47
5.7894736842105265,0.41
5.7894736842105265,0.51
5.7894736842105265,0.53
5.7894736842105265,0.47
5.7894736842105265,0.51
5.7894736842105265,0.59
5.7894736842105265,0.52
5.7894736842105265,0.55
5.7894736842105265,0.43
5.7894736842105265,0.49
5.7894736842105265,0.37
5.7894736842105265,0.49
5.7894736842105265,0.57
5.7894736842105265,0.56
5.7894736842105265,0.48
5.7894736842105265,0.53
5.7894736842105265,0.52
5.7894736842105265,0.57
5.7894736842105265,0.51
5.7894736842105265,0.49
5.7894736842105265,0.35
5.7894736842105265,0.51
5.7894736842105265,0.47
5.7894736842105265,0.54
5.7894736842105265,0.5
5.7894736842105265,0.52
5.7894736842105265,0.48
5.7894736842105265,0.51
5.7894736842105265,0.45
5.7894736842105265,0.48
5.7894736842105265,0.52
5.7894736842105265,0.52
5.7894736842105265,0.44
5.7894736842105265,0.46
5.7894736842105265,0.49
5.7894736842105265,0.49
5.7894736842105265,0.56
5.7894736842105265,0.45
5.7894736842105265,0.49
5.7894736842105265,0.46
5.7894736842105265,0.46
5.7894736842105265,0.52
5.7894736842105265,0.48
5.7894736842105265,0.46
5.7894736842105265,0.48
5.7894736842105265,0.53
5.7894736842105265,0.51
5.7894736842105265,0.5
5.7894736842105265,0.52
5.7894736842105265,0.53
5.7894736842105265,0.58
5.7894736842105265,0.42
5.7894736842105265,0.51
5.7894736842105265,0.43
5.7894736842105265,0.46
5.7894736842105265,0.51
5.7894736842105265,0.51
5.7894736842105265,0.47
5.7894736842105265,0.47
5.7894736842105265,0.43
5.7894736842105265,0.52
5.7894736842105265,0.52
5.7894736842105265,0.53
5.7894736842105265,0.5
5.7894736842105265,0.46
5.7894736842105265,0.4
5.7894736842105265,0.51
5.7894736842105265,0.5
5.7894736842105265,0.5
5.7894736842105265,0.54
5.7894736842105265,0.54
5.7894736842105265,0.5
5.7894736842105265,0.46
5.7894736842105265,0.53
5.7894736842105265,0.45
5.7894736842105265,0.53
5.7894736842105265,0.55
5.7894736842105265,0.47
5.7894736842105265,0.49
5.7894736842105265,0.49
5.7894736842105265,0.51
5.7894736842105265,0.52
