alpha,Recycle_Rate
0.01,0.5959999999999999
0.01,0.5865
0.01,0.585
0.01,0.6325000000000001
0.01,0.6465000000000001
0.01,0.5914999999999999
0.01,0.6609999999999999
0.01,0.6335
0.01,0.631
0.01,0.594
0.01,0.633
0.01,0.6295000000000001
0.01,0.6479999999999999
0.01,0.5625
0.01,0.5815
0.01,0.5499999999999999
0.01,0.5845
0.01,0.634
0.01,0.5924999999999999
0.01,0.5805
0.01,0.6575
0.01,0.6375000000000001
0.01,0.6375
0.01,0.613
0.01,0.6725
0.01,0.6104999999999999
0.01,0.631
0.01,0.6165
0.01,0.6475
0.01,0.6345
0.01,0.5599999999999999
0.01,0.5479999999999998
0.01,0.636
0.01,0.6295
0.01,0.6445000000000001
0.01,0.6114999999999999
0.01,0.5934999999999999
0.01,0.658
0.01,0.6784999999999999
0.01,0.6769999999999999
0.01,0.61
0.01,0.6
0.01,0.5900000000000001
0.01,0.6340000000000001
0.01,0.5994999999999999
0.01,0.6155
0.01,0.5545000000000001
0.01,0.6560000000000001
0.01,0.5715
0.01,0.6945
0.04413793103448276,0.6245
0.04413793103448276,0.616
0.04413793103448276,0.5970000000000001
0.04413793103448276,0.6565000000000001
0.04413793103448276,0.6975
0.04413793103448276,0.6300000000000001
0.04413793103448276,0.6935
0.04413793103448276,0.6859999999999999
0.04413793103448276,0.663
0.04413793103448276,0.6250000000000001
0.04413793103448276,0.671
0.04413793103448276,0.6460000000000001
0.04413793103448276,0.6835
0.04413793103448276,0.6125
0.04413793103448276,0.6259999999999999
0.04413793103448276,0.5774999999999999
0.04413793103448276,0.632
0.04413793103448276,0.6625
0.04413793103448276,0.6395000000000001
0.04413793103448276,0.6179999999999999
0.04413793103448276,0.6889999999999998
0.04413793103448276,0.6635000000000001
0.04413793103448276,0.6775
0.04413793103448276,0.6675
0.04413793103448276,0.7005000000000001
0.04413793103448276,0.6525
0.04413793103448276,0.6575
0.04413793103448276,0.6575
0.04413793103448276,0.6795
0.04413793103448276,0.673
0.04413793103448276,0.5940000000000001
0.04413793103448276,0.563
0.04413793103448276,0.6765
0.04413793103448276,0.6815
0.04413793103448276,0.6639999999999999
0.04413793103448276,0.6455
0.04413793103448276,0.6279999999999999
0.04413793103448276,0.6645000000000001
0.04413793103448276,0.7175
0.04413793103448276,0.7005
0.04413793103448276,0.6435000000000002
0.04413793103448276,0.6525000000000001
0.04413793103448276,0.617
0.04413793103448276,0.652
0.04413793103448276,0.6315000000000001
0.04413793103448276,0.6449999999999999
0.04413793103448276,0.6009999999999999
0.04413793103448276,0.6885
0.04413793103448276,0.6170000000000001
0.04413793103448276,0.721
0.07827586206896552,0.6665000000000001
0.07827586206896552,0.6599999999999999
0.07827586206896552,0.667
0.07827586206896552,0.7105
0.07827586206896552,0.724
0.07827586206896552,0.6719999999999999
0.07827586206896552,0.708
0.07827586206896552,0.726
0.07827586206896552,0.7129999999999999
0.07827586206896552,0.6649999999999999
0.07827586206896552,0.7190000000000001
0.07827586206896552,0.692
0.07827586206896552,0.7300000000000001
0.07827586206896552,0.653
0.07827586206896552,0.6874999999999999
0.07827586206896552,0.634
0.07827586206896552,0.658
0.07827586206896552,0.7124999999999999
0.07827586206896552,0.6794999999999999
0.07827586206896552,0.6385000000000002
0.07827586206896552,0.7245000000000001
0.07827586206896552,0.7110000000000001
0.07827586206896552,0.722
0.07827586206896552,0.7
0.07827586206896552,0.7494999999999999
0.07827586206896552,0.6825000000000001
0.07827586206896552,0.7084999999999998
0.07827586206896552,0.6874999999999999
0.07827586206896552,0.7204999999999999
0.07827586206896552,0.7149999999999999
0.07827586206896552,0.6505
0.07827586206896552,0.6285000000000001
0.07827586206896552,0.7245000000000001
0.07827586206896552,0.7035
0.07827586206896552,0.706
0.07827586206896552,0.6910000000000001
0.07827586206896552,0.677
0.07827586206896552,0.6994999999999999
0.07827586206896552,0.7595
0.07827586206896552,0.7414999999999999
0.07827586206896552,0.6725
0.07827586206896552,0.6875000000000001
0.07827586206896552,0.6355
0.07827586206896552,0.6935
0.07827586206896552,0.645
0.07827586206896552,0.6535
0.07827586206896552,0.6245
0.07827586206896552,0.7394999999999999
0.07827586206896552,0.6639999999999999
0.07827586206896552,0.7505
0.11241379310344828,0.7114999999999999
0.11241379310344828,0.6875000000000001
0.11241379310344828,0.6829999999999999
0.11241379310344828,0.7454999999999999
0.11241379310344828,0.7590000000000001
0.11241379310344828,0.7025
0.11241379310344828,0.7455
0.11241379310344828,0.7425
0.11241379310344828,0.7505
0.11241379310344828,0.7204999999999998
0.11241379310344828,0.744
0.11241379310344828,0.7204999999999999
0.11241379310344828,0.7510000000000001
0.11241379310344828,0.723
0.11241379310344828,0.751
0.11241379310344828,0.6700000000000002
0.11241379310344828,0.6895
0.11241379310344828,0.7710000000000001
0.11241379310344828,0.744
0.11241379310344828,0.675
0.11241379310344828,0.7555
0.11241379310344828,0.7609999999999999
0.11241379310344828,0.7384999999999999
0.11241379310344828,0.737
0.11241379310344828,0.7955
0.11241379310344828,0.7154999999999999
0.11241379310344828,0.7430000000000001
0.11241379310344828,0.7305
0.11241379310344828,0.7469999999999999
0.11241379310344828,0.7405
0.11241379310344828,0.6945000000000001
0.11241379310344828,0.6779999999999999
0.11241379310344828,0.7605000000000002
0.11241379310344828,0.7370000000000001
0.11241379310344828,0.7314999999999999
0.11241379310344828,0.732
0.11241379310344828,0.7310000000000001
0.11241379310344828,0.7374999999999999
0.11241379310344828,0.7785
0.11241379310344828,0.7609999999999999
0.11241379310344828,0.716
0.11241379310344828,0.719
0.11241379310344828,0.693
0.11241379310344828,0.7344999999999999
0.11241379310344828,0.696
0.11241379310344828,0.6795
0.11241379310344828,0.6990000000000001
0.11241379310344828,0.7635000000000001
0.11241379310344828,0.712
0.11241379310344828,0.7820000000000001
0.14655172413793105,0.7394999999999999
0.14655172413793105,0.7085000000000001
0.14655172413793105,0.7475
0.14655172413793105,0.7565000000000001
0.14655172413793105,0.7995000000000001
0.14655172413793105,0.7620000000000001
0.14655172413793105,0.7835
0.14655172413793105,0.7785000000000001
0.14655172413793105,0.7825
0.14655172413793105,0.7560000000000001
0.14655172413793105,0.774
0.14655172413793105,0.75
0.14655172413793105,0.761
0.14655172413793105,0.765
0.14655172413793105,0.7925000000000001
0.14655172413793105,0.7125000000000001
0.14655172413793105,0.752
0.14655172413793105,0.798
0.14655172413793105,0.756
0.14655172413793105,0.7190000000000001
0.14655172413793105,0.8065
0.14655172413793105,0.7865
0.14655172413793105,0.7819999999999999
0.14655172413793105,0.7665000000000001
0.14655172413793105,0.8285
0.14655172413793105,0.7470000000000001
0.14655172413793105,0.776
0.14655172413793105,0.7620000000000001
0.14655172413793105,0.781
0.14655172413793105,0.7790000000000001
0.14655172413793105,0.7190000000000001
0.14655172413793105,0.7185
0.14655172413793105,0.7755000000000001
0.14655172413793105,0.7780000000000001
0.14655172413793105,0.7685
0.14655172413793105,0.78
0.14655172413793105,0.7539999999999999
0.14655172413793105,0.7645000000000001
0.14655172413793105,0.7924999999999999
0.14655172413793105,0.7835
0.14655172413793105,0.7495
0.14655172413793105,0.74
0.14655172413793105,0.725
0.14655172413793105,0.7895
0.14655172413793105,0.7270000000000001
0.14655172413793105,0.721
0.14655172413793105,0.7565000000000001
0.14655172413793105,0.7665
0.14655172413793105,0.733
0.14655172413793105,0.7865
0.1806896551724138,0.7605000000000001
0.1806896551724138,0.77
0.1806896551724138,0.788
0.1806896551724138,0.7849999999999999
0.1806896551724138,0.793
0.1806896551724138,0.78
0.1806896551724138,0.7985
0.1806896551724138,0.8005000000000001
0.1806896551724138,0.808
0.1806896551724138,0.787
0.1806896551724138,0.7865
0.1806896551724138,0.778
0.1806896551724138,0.7905
0.1806896551724138,0.7985000000000001
0.1806896551724138,0.8135
0.1806896551724138,0.7665
0.1806896551724138,0.7629999999999999
0.1806896551724138,0.8240000000000001
0.1806896551724138,0.775
0.1806896551724138,0.7765
0.1806896551724138,0.7935000000000001
0.1806896551724138,0.8180000000000002
0.1806896551724138,0.8230000000000001
0.1806896551724138,0.7909999999999999
0.1806896551724138,0.8479999999999999
0.1806896551724138,0.7889999999999999
0.1806896551724138,0.807
0.1806896551724138,0.8009999999999999
0.1806896551724138,0.8094999999999999
0.1806896551724138,0.8020000000000002
0.1806896551724138,0.7684999999999998
0.1806896551724138,0.7590000000000001
0.1806896551724138,0.8030000000000002
0.1806896551724138,0.8009999999999999
0.1806896551724138,0.7994999999999999
0.1806896551724138,0.8074999999999998
0.1806896551724138,0.7795
0.1806896551724138,0.7905000000000001
0.1806896551724138,0.826
0.1806896551724138,0.8
0.1806896551724138,0.7935000000000001
0.1806896551724138,0.8019999999999999
0.1806896551724138,0.7635000000000001
0.1806896551724138,0.8125
0.1806896551724138,0.7695000000000001
0.1806896551724138,0.76
0.1806896551724138,0.796
0.1806896551724138,0.8174999999999999
0.1806896551724138,0.7505
0.1806896551724138,0.8145000000000001
0.21482758620689657,0.7994999999999999
0.21482758620689657,0.7885000000000001
0.21482758620689657,0.8095000000000001
0.21482758620689657,0.7999999999999999
0.21482758620689657,0.812
0.21482758620689657,0.8275
0.21482758620689657,0.8195
0.21482758620689657,0.8110000000000002
0.21482758620689657,0.8039999999999999
0.21482758620689657,0.8135
0.21482758620689657,0.8185
0.21482758620689657,0.8065
0.21482758620689657,0.8274999999999999
0.21482758620689657,0.8305
0.21482758620689657,0.8005000000000001
0.21482758620689657,0.7625
0.21482758620689657,0.8109999999999999
0.21482758620689657,0.8375
0.21482758620689657,0.8004999999999999
0.21482758620689657,0.791
0.21482758620689657,0.8139999999999998
0.21482758620689657,0.835
0.21482758620689657,0.843
0.21482758620689657,0.805
0.21482758620689657,0.8469999999999999
0.21482758620689657,0.804
0.21482758620689657,0.8244999999999999
0.21482758620689657,0.8230000000000001
0.21482758620689657,0.8084999999999999
0.21482758620689657,0.8344999999999999
0.21482758620689657,0.774
0.21482758620689657,0.783
0.21482758620689657,0.8265
0.21482758620689657,0.8165000000000001
0.21482758620689657,0.8139999999999998
0.21482758620689657,0.804
0.21482758620689657,0.821
0.21482758620689657,0.8240000000000001
0.21482758620689657,0.8210000000000001
0.21482758620689657,0.8240000000000001
0.21482758620689657,0.7975
0.21482758620689657,0.818
0.21482758620689657,0.799
0.21482758620689657,0.8314999999999999
0.21482758620689657,0.818
0.21482758620689657,0.8065000000000001
0.21482758620689657,0.8205
0.21482758620689657,0.8305
0.21482758620689657,0.7874999999999999
0.21482758620689657,0.8395000000000001
0.24896551724137933,0.8145
0.24896551724137933,0.7885
0.24896551724137933,0.8320000000000001
0.24896551724137933,0.85
0.24896551724137933,0.8135
0.24896551724137933,0.8325000000000001
0.24896551724137933,0.8430000000000002
0.24896551724137933,0.8554999999999999
0.24896551724137933,0.8234999999999999
0.24896551724137933,0.8295
0.24896551724137933,0.8380000000000001
