epsilon,Recycle_Rate
0.01,0.8717171717171718
0.01,0.8737373737373737
0.01,0.8823232323232324
0.01,0.8873737373737374
0.01,0.864141414141414
0.01,0.8919191919191919
0.01,0.8883838383838384
0.01,0.8929292929292931
0.01,0.8747474747474747
0.01,0.8853535353535353
0.01,0.8878787878787879
0.01,0.8893939393939394
0.01,0.8727272727272727
0.01,0.8808080808080806
0.01,0.8767676767676769
0.01,0.8782828282828282
0.01,0.8686868686868687
0.01,0.8863636363636364
0.01,0.8712121212121213
0.01,0.8873737373737374
0.01,0.8833333333333334
0.01,0.8803030303030303
0.01,0.8752525252525253
0.01,0.8540404040404039
0.01,0.890909090909091
0.01,0.8722222222222223
0.01,0.8757575757575757
0.01,0.8732323232323234
0.01,0.8757575757575757
0.01,0.8641414141414142
0.01,0.8631313131313132
0.01,0.8606060606060606
0.01,0.8646464646464647
0.01,0.8732323232323234
0.01,0.8737373737373737
0.01,0.8737373737373739
0.01,0.8737373737373739
0.01,0.8939393939393941
0.01,0.8944444444444445
0.01,0.8818181818181818
0.01,0.8787878787878789
0.01,0.8782828282828282
0.01,0.8823232323232324
0.01,0.887878787878788
0.01,0.8833333333333334
0.01,0.8777777777777779
0.01,0.8717171717171717
0.01,0.8813131313131312
0.01,0.8803030303030303
0.01,0.8904040404040403
0.026896551724137928,0.8489795918367345
0.026896551724137928,0.8581632653061224
0.026896551724137928,0.8846938775510204
0.026896551724137928,0.8933673469387754
0.026896551724137928,0.8607142857142858
0.026896551724137928,0.875
0.026896551724137928,0.8841836734693876
0.026896551724137928,0.8811224489795919
0.026896551724137928,0.8729591836734694
0.026896551724137928,0.8801020408163265
0.026896551724137928,0.875
0.026896551724137928,0.8831632653061222
0.026896551724137928,0.8795918367346938
0.026896551724137928,0.8826530612244898
0.026896551724137928,0.8811224489795919
0.026896551724137928,0.8862244897959185
0.026896551724137928,0.8647959183673471
0.026896551724137928,0.8892857142857142
0.026896551724137928,0.8770408163265306
0.026896551724137928,0.8612244897959183
0.026896551724137928,0.8775510204081632
0.026896551724137928,0.8821428571428571
0.026896551724137928,0.8739795918367346
0.026896551724137928,0.8556122448979593
