lambda_param,Run,Recycle_Rate
0.1,0,0.91
0.1,1,0.88
0.1,2,0.86
0.1,3,0.89
0.1,4,0.95
0.1,5,0.91
0.1,6,0.9
0.1,7,0.89
0.1,8,0.94
0.1,9,0.95
0.6444444444444445,10,0.86
0.6444444444444445,11,0.9
0.6444444444444445,12,0.88
0.6444444444444445,13,0.91
0.6444444444444445,14,0.91
0.6444444444444445,15,0.93
0.6444444444444445,16,0.88
0.6444444444444445,17,0.86
0.6444444444444445,18,0.9
0.6444444444444445,19,0.9
1.188888888888889,20,0.9
1.188888888888889,21,0.86
1.188888888888889,22,0.85
1.188888888888889,23,0.88
1.188888888888889,24,0.9
1.188888888888889,25,0.89
1.188888888888889,26,0.92
1.188888888888889,27,0.88
1.188888888888889,28,0.89
1.188888888888889,29,0.88
1.7333333333333336,30,0.94
1.7333333333333336,31,0.85
1.7333333333333336,32,0.94
1.7333333333333336,33,0.89
1.7333333333333336,34,0.95
1.7333333333333336,35,0.95
1.7333333333333336,36,0.88
1.7333333333333336,37,0.89
1.7333333333333336,38,0.9
1.7333333333333336,39,0.88
2.277777777777778,40,0.93
2.277777777777778,41,0.9
2.277777777777778,42,0.9
2.277777777777778,43,0.94
2.277777777777778,44,0.9
2.277777777777778,45,0.92
2.277777777777778,46,0.91
2.277777777777778,47,0.92
2.277777777777778,48,0.88
2.277777777777778,49,0.86
2.8222222222222224,50,0.92
2.8222222222222224,51,0.9
2.8222222222222224,52,0.89
2.8222222222222224,53,0.96
2.8222222222222224,54,0.87
2.8222222222222224,55,0.88
2.8222222222222224,56,0.93
2.8222222222222224,57,0.89
2.8222222222222224,58,0.88
2.8222222222222224,59,0.9
3.366666666666667,60,0.91
3.366666666666667,61,0.92
3.366666666666667,62,0.88
3.366666666666667,63,0.94
3.366666666666667,64,0.92
3.366666666666667,65,0.86
3.366666666666667,66,0.92
3.366666666666667,67,0.89
3.366666666666667,68,0.89
3.366666666666667,69,0.85
3.911111111111112,70,0.88
3.911111111111112,71,0.93
3.911111111111112,72,0.88
3.911111111111112,73,0.86
3.911111111111112,74,0.87
3.911111111111112,75,0.9
3.911111111111112,76,0.9
3.911111111111112,77,0.91
3.911111111111112,78,0.88
3.911111111111112,79,0.85
4.455555555555556,80,0.93
4.455555555555556,81,0.91
4.455555555555556,82,0.92
4.455555555555556,83,0.92
4.455555555555556,84,0.9
4.455555555555556,85,0.88
4.455555555555556,86,0.88
4.455555555555556,87,0.93
4.455555555555556,88,0.9
4.455555555555556,89,0.91
5.0,90,0.89
5.0,91,0.93
5.0,92,0.92
5.0,93,0.9
5.0,94,0.86
5.0,95,0.88
5.0,96,0.93
5.0,97,0.9
5.0,98,0.89
5.0,99,0.91
