M,Recycle_Rate
1,0.039473684210526314
1,0.042105263157894736
1,0.028421052631578948
1,0.03263157894736842
1,0.030526315789473686
1,0.05263157894736842
1,0.045789473684210526
1,0.04947368421052632
1,0.05105263157894737
1,0.047894736842105254
1,0.039999999999999994
1,0.047368421052631574
1,0.05684210526315788
1,0.04842105263157894
1,0.047368421052631574
1,0.05000000000000001
1,0.031052631578947366
1,0.04578947368421052
1,0.03
1,0.045789473684210526
1,0.05368421052631579
1,0.05578947368421052
1,0.03736842105263158
1,0.05210526315789473
1,0.05263157894736842
1,0.047368421052631574
1,0.02789473684210526
1,0.06105263157894737
1,0.05105263157894737
1,0.06105263157894737
1,0.032105263157894734
1,0.04473684210526315
1,0.046842105263157886
1,0.03842105263157895
1,0.055263157894736833
1,0.051578947368421044
1,0.056842105263157895
1,0.05578947368421052
1,0.05157894736842106
1,0.045263157894736845
1,0.05157894736842106
1,0.03368421052631579
1,0.05894736842105262
1,0.056315789473684194
1,0.05105263157894736
1,0.05473684210526315
1,0.04105263157894736
1,0.056315789473684194
1,0.04684210526315789
1,0.032105263157894734
1,0.03578947368421053
1,0.0431578947368421
1,0.039999999999999994
1,0.026842105263157896
1,0.045263157894736845
1,0.047894736842105254
1,0.039999999999999994
1,0.04421052631578947
1,0.05736842105263158
1,0.05157894736842106
1,0.05473684210526315
1,0.056842105263157895
1,0.05684210526315788
1,0.051578947368421044
1,0.05210526315789473
1,0.05684210526315788
1,0.0463157894736842
1,0.04947368421052631
1,0.03315789473684211
1,0.04842105263157894
1,0.04000000000000001
1,0.05631578947368421
1,0.048421052631578934
1,0.03736842105263157
1,0.05947368421052631
1,0.05684210526315788
1,0.03263157894736842
1,0.05526315789473685
1,0.03789473684210527
1,0.061578947368421046
1,0.03421052631578947
1,0.047894736842105254
1,0.04631578947368421
1,0.039999999999999994
1,0.04631578947368421
1,0.05578947368421052
1,0.05736842105263157
1,0.05947368421052631
1,0.042105263157894736
1,0.06
1,0.05947368421052631
1,0.047894736842105254
1,0.055263157894736833
1,0.05368421052631578
1,0.045789473684210526
1,0.053157894736842105
1,0.032631578947368414
1,0.05842105263157894
1,0.037894736842105266
1,0.04263157894736842
2,0.1484210526315789
2,0.15
2,0.1610526315789474
2,0.12052631578947366
2,0.12421052631578948
2,0.13736842105263158
2,0.14578947368421052
2,0.16210526315789475
2,0.16105263157894736
2,0.15210526315789474
2,0.15263157894736842
2,0.14894736842105266
2,0.11894736842105262
2,0.1431578947368421
2,0.15421052631578946
2,0.14842105263157895
2,0.15736842105263157
2,0.12999999999999995
2,0.15
2,0.14526315789473682
2,0.15263157894736845
2,0.14368421052631578
2,0.16578947368421054
2,0.14526315789473684
2,0.1226315789473684
2,0.14157894736842105
2,0.14631578947368423
2,0.1568421052631579
2,0.16631578947368425
2,0.16052631578947368
2,0.14157894736842105
2,0.14
2,0.16052631578947368
2,0.14947368421052634
2,0.1468421052631579
2,0.14263157894736841
2,0.15157894736842106
2,0.15578947368421053
2,0.16105263157894736
2,0.15894736842105264
2,0.13894736842105265
2,0.14842105263157895
2,0.14578947368421052
2,0.1526315789473684
2,0.15105263157894738
2,0.16263157894736843
2,0.14947368421052631
2,0.17105263157894737
2,0.11947368421052632
